Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,54.93,45.07,0.94,0.0,0.0,0.0
2000-01-11,13.93,86.07,0.94,0.0,0.0,0.0
2000-01-18,12.58,87.42,0.94,0.0,0.0,0.0
2000-01-25,21.52,78.48,0.94,0.0,0.0,0.0
2000-02-01,27.53,72.47,0.84,0.0,0.0,0.0
2000-02-08,31.13,68.87,0.84,0.0,0.0,0.0
2000-02-15,31.52,68.48,11.71,0.0,0.0,0.0
2000-02-22,56.81,43.19,11.71,0.0,0.0,0.0
2000-02-29,62.92,37.08,11.51,0.0,0.0,0.0
2000-03-07,68.97,31.03,10.65,0.0,0.0,0.0
2000-03-14,85.06,14.94,3.12,0.0,0.0,0.0
2000-03-21,84.47,15.53,3.3,0.0,0.0,0.0
2000-03-28,85.17,14.83,3.14,0.0,0.0,0.0
2000-04-04,86.46,13.54,4.79,0.0,0.0,0.0
2000-04-11,86.44,13.56,4.97,0.0,0.0,0.0
2000-04-18,85.43,14.57,4.1,0.0,0.0,0.0
2000-04-25,87.94,12.06,4.1,0.0,0.0,0.0
2000-05-02,84.57,15.43,7.51,0.0,0.0,0.0
2000-05-09,84.0,16.0,8.41,0.0,0.0,0.0
2000-05-16,76.31,23.69,10.73,2.18,0.0,0.0
2000-05-23,76.12,23.88,10.72,2.18,0.0,0.0
2000-05-30,76.13,23.87,12.76,2.18,0.0,0.0
2000-06-06,73.73,26.27,15.42,2.18,0.0,0.0
2000-06-13,74.12,25.88,16.07,2.73,0.29,0.0
2000-06-20,73.86,26.14,16.07,2.73,0.29,0.0
2000-06-27,72.98,27.02,16.46,3.1,0.29,0.0
2000-07-04,83.39,16.61,1.24,0.91,0.29,0.0
2000-07-11,83.73,16.27,1.36,0.91,0.29,0.0
2000-07-18,60.92,39.08,1.35,0.91,0.29,0.0
2000-07-25,48.88,51.12,3.55,0.85,0.23,0.0
2000-08-01,44.1,55.9,4.13,0.81,0.18,0.0
2000-08-08,37.04,62.96,7.07,0.81,0.18,0.0
2000-08-15,37.51,62.49,12.31,3.53,0.18,0.0
2000-08-22,38.93,61.07,15.03,3.29,0.18,0.0
2000-08-29,40.16,59.84,14.46,1.92,0.18,0.0
2000-09-05,56.59,43.41,5.61,1.43,0.16,0.0
2000-09-12,56.59,43.41,5.61,1.43,0.16,0.0
2000-09-19,56.58,43.42,5.62,1.11,0.0,0.0
2000-09-26,52.95,47.05,7.67,1.11,0.0,0.0
2000-10-03,49.11,50.89,12.25,0.94,0.0,0.0
2000-10-10,49.09,50.91,12.22,2.23,0.0,0.0
2000-10-17,60.09,39.91,10.01,0.9,0.0,0.0
2000-10-24,60.48,39.52,4.69,0.34,0.0,0.0
2000-10-31,84.86,15.14,0.56,0.34,0.0,0.0
2000-11-07,89.21,10.79,0.3,0.0,0.0,0.0
2000-11-14,99.37,0.63,0.3,0.0,0.0,0.0
2000-11-21,99.37,0.63,0.3,0.0,0.0,0.0
2000-11-28,99.37,0.63,0.3,0.0,0.0,0.0
2000-12-05,99.43,0.57,0.3,0.0,0.0,0.0
2000-12-12,99.53,0.47,0.07,0.0,0.0,0.0
2000-12-19,99.53,0.47,0.07,0.0,0.0,0.0
2000-12-26,99.53,0.47,0.07,0.0,0.0,0.0
2001-01-02,86.95,13.05,0.07,0.0,0.0,0.0
2001-01-09,73.47,26.53,0.1,0.06,0.0,0.0
2001-01-16,88.3,11.7,1.13,0.06,0.0,0.0
2001-01-23,79.18,20.82,1.27,0.06,0.0,0.0
2001-01-30,81.58,18.42,1.27,0.06,0.0,0.0
2001-02-06,74.68,25.32,1.29,0.71,0.0,0.0
2001-02-13,74.48,25.52,2.86,0.43,0.0,0.0
2001-02-20,77.22,22.78,2.69,0.43,0.0,0.0
2001-02-27,76.4,23.6,3.11,0.48,0.06,0.0
2001-03-06,76.4,23.6,3.34,0.48,0.06,0.0
2001-03-13,76.4,23.6,3.38,0.58,0.06,0.0
2001-03-20,76.08,23.92,3.92,0.52,0.06,0.0
2001-03-27,76.08,23.92,3.92,0.52,0.06,0.0
2001-04-03,73.62,26.38,8.92,1.55,0.3,0.0
2001-04-10,75.77,24.23,14.62,1.64,0.3,0.0
2001-04-17,72.74,27.26,15.24,1.64,0.3,0.0
2001-04-24,72.74,27.26,15.24,1.64,0.3,0.0
2001-05-01,72.74,27.26,15.24,1.64,0.3,0.0
2001-05-08,72.74,27.26,15.24,1.64,0.09,0.0
2001-05-15,69.64,30.36,16.63,1.88,0.09,0.0
2001-05-22,69.64,30.36,16.63,1.88,0.09,0.0
2001-05-29,69.64,30.36,16.63,4.11,0.08,0.0
2001-06-05,56.8,43.2,24.09,5.26,0.09,0.0
